Year,Sector,Annual_Installed_Capacity_MW
2011,Wind,3190
2012,Wind,1700
2013,Wind,1990
2014,Wind,2310
2015,Wind,3430
2016,Wind,5500
2017,Wind,1870
2018,Wind,1480
2019,Wind,2110
2020,Wind,1510
2021,Wind,1110
2022,Wind,2270
2023,Wind,3260
2024,Wind,4150
2011,Solar,900
2012,Solar,750
2013,Solar,940
2014,Solar,1110
2015,Solar,3020
2016,Solar,5530
2017,Solar,10050
2018,Solar,6760
2019,Solar,6510
2020,Solar,5630
2021,Solar,12760
2022,Solar,12780
2023,Solar,15040
2024,Solar,23830
